"Drzava","Populacija(2020)","Povrsina(Km2)"
"Afganistan","38,928,346","652,860"
"Albanija","2,877,797","27,400"
"Alžirija","43,851,044","2,381,740"
"Andora","77,265","470"
"Angola","32,866,272","1,246,700"
"Antigva in Barbuda","97,929","440"
"Argentina","45,195,774","2,736,690"
"Armenija","2,963,243","28,470"
"Avstralija","25,499,884","7,682,300"
"Avstrija","9,006,398","82,409"
"Azerbajdžan","10,139,177","82,658"
"Bahami","393,244","10,010"
"Bahrajn","1,701,575","760"
"Bangladeš","164,689,383","130,170"
"Barbados","287,375","430"
"Belorusija","9,449,323","202,910"
"Belgija","11,589,623","30,280"
"Belize","397,628","22,810"
"Benin","12,123,200","112,760"
"Butan","771,608","38,117"
"Bolivija","11,673,021","1,083,300"
"Bosna in Hercegovina","3,280,819","51,000"
"Bocvana","2,351,627","566,730"
"Brazilija","212,559,417","8,358,140"
"Brunej","437,479","5,270"
"Bolgarija","6,948,445","108,560"
"Burkina Faso","20,903,273","273,600"
"Burundi","11,890,784","25,680"
"Kambodža","16,718,965","176,520"
"Kamerun","26,545,863","472,710"
"Kanada","37,742,154","9,093,510"
"Srednjeafriška republika","4,829,767","622,980"
"Cad","16,425,864","1,259,200"
"Cile","19,116,201","743,532"
"Kitajska","1,439,323,776","9,388,211"
"Kolumbija","50,882,891","1,109,500"
"Komori","869,601","1,861"
"Kostarika","5,094,118","51,060"
"Hrvaška","4,105,267","55,960"
"Kuba","11,326,616","106,440"
"Ciper","1,207,359","9,240"
"Ceška","10,708,981","77,240"
"Demokraticna republika Kongo","89,561,403","2,267,050"
"Danska","5,792,202","42,430"
"Džibuti","988,000","23,180"
"Dominika","71,986","750"
"Dominikanska republika","10,847,910","48,320"
"Ekvador","17,643,054","248,360"
"Egipt","102,334,404","995,450"
"Salvador","6,486,205","20,720"
"Ekvatorialna Gvineja","1,402,985","28,050"
"Eritreja","3,546,421","101,000"
"Estonija","1,326,535","42,390"
"Etiopija","114,963,588","1,000,000"
"Fidži","896,445","18,270"
"Finska","5,540,720","303,890"
"Francija","65,273,511","547,557"
"Gabon","2,225,734","257,670"
"Gambija","2,416,668","10,120"
"Gruzija","3,989,167","69,490"
"Nemcija","83,783,942","348,560"
"Gana","31,072,940","227,540"
"Grcija","10,423,054","128,900"
"Grenada","112,523","340"
"Gvatemala","17,915,568","107,160"
"Gvineja","13,132,795","245,720"
"Gvineja Bissau","1,968,001","28,120"
"Gvajana","786,552","196,850"
"Haiti","11,402,528","27,560"
"Honduras","9,904,607","111,890"
"Madžarska","9,660,351","90,530"
"Islandija","341,243","100,250"
"Indija","1,380,004,385","2,973,190"
"Indonezija","273,523,615","1,811,570"
"Iran","83,992,949","1,628,550"
"Irak","40,222,493","434,320"
"Irska","4,937,786","68,890"
"Izrael","8,655,535","21,640"
"Italija","60,461,826","294,140"
"Jamajka","2,961,167","10,830"
"Japonska","126,476,461","364,555"
"Jordan","10,203,134","88,780"
"Kazahstan","18,776,707","2,699,700"
"Kenija","53,771,296","569,140"
"Kiribati","119,449","810"
"Kuvajt","4,270,571","17,820"
"Kirgizistan","6,524,195","191,800"
"Laos","7,275,560","230,800"
"Latvija","1,886,198","62,200"
"Libanon","6,825,445","10,230"
"Lesoto","2,142,249","30,360"
"Liberija","5,057,681","96,320"
"Libija","6,871,292","1,759,540"
"Lihtenštajn","38,128","160"
"Litva","2,722,289","62,674"
"Luksemburg","625,978","2,590"
"Madagaskar","27,691,018","581,795"
"Malavi","19,129,952","94,280"
"Malezija","32,365,999","328,550"
"Maldivi","540,544","300"
"Mali","20,250,833","1,220,190"
"Malta","441,543","320"
"Marshallovi otoki","59,190","180"
"Mavretanija","4,649,658","1,030,700"
"Mauritius","1,271,768","2,030"
"Mehika","128,932,753","1,943,950"
"Mikronezija","115,023","700"
"Moldavija","4,033,963","32,850"
"Monako","39,242","1"
"Mongolija","3,278,290","1,553,560"
"Crna gora","628,066","13,450"
"Maroko","36,910,560","446,300"
"Mozambik","31,255,435","786,380"
"Mjanmar","54,409,800","653,290"
"Namibija","2,540,905","823,290"
"Nauru","10,824","20"
"Nepal","29,136,808","143,350"
"Nizozemska","17,134,872","33,720"
"Nova Zelandija","4,822,233","263,310"
"Nikaragva","6,624,554","120,340"
"Niger","24,206,644","1,266,700"
"Nigerija","206,139,589","910,770"
"Severna Koreja","25,778,816","120,410"
"Norveška","5,421,241","365,268"
"Oman","5,106,626","309,500"
"Pakistan","220,892,340","770,880"
"Palau","18,094","460"
"Panama","4,314,767","74,340"
"Papua Nova Gvineja","8,947,024","452,860"
"Paragvaj","7,132,538","397,300"
"Peru","32,971,854","1,280,000"
"Filipini","109,581,078","298,170"
"Poljska","37,846,611","306,230"
"Portugalska","10,196,709","91,590"
"Katar","2,881,053","11,610"
"Romunija","19,237,691","230,170"
"Rusija","145,934,462","16,376,870"
"Ruanda","12,952,218","24,670"
"Saint Lucia","183,627","610"
"Samoa","198,414","2,830"
"San Marino","33,931","60"
"Saudova Arabija","34,813,871","2,149,690"
"Senegal","16,743,927","192,530"
"Srbija","8,737,371","87,460"
"Sejšeli","98,347","460"
"Sierra Leone","7,976,983","72,180"
"Singapur","5,850,342","700"
"Slovaška","5,459,642","48,088"
"Slovenija","2,078,938","20,140"
"Salomonovi otoki","686,884","27,990"
"Somalija","15,893,222","627,340"
"Južna Afrika","59,308,690","1,213,090"
"Južna Koreja","51,269,185","97,230"
"Južni Sudan","11,193,725","610,952"
"Španija","46,754,778","498,800"
"Šrilanka","21,413,249","62,710"
"Sudan","43,849,260","1,765,048"
"Surinam","586,632","156,000"
"Švedska","10,099,265","410,340"
"Švica","8,654,622","39,516"
"Sirija","17,500,658","183,630"
"Tadžikistan","9,537,645","139,960"
"Tanzanija","59,734,218","885,800"
"Tajska","69,799,978","510,890"
"Togo","8,278,724","54,390"
"Tonga","105,695","720"
"Trinidad in Tobago","1,399,488","5,130"
"Tunizija","11,818,619","155,360"
"Turcija","84,339,067","769,630"
"Turkmenistan","6,031,200","469,930"
"Tuvalu","11,792","30"
"Uganda","45,741,007","199,810"
"Ukrajina","43,733,762","579,320"
"Združeni arabski emirati","9,890,402","83,600"
"Združeno kraljestvo","67,886,011","241,930"
"Združene države Amerike","331,002,651","9,147,420"
"Urugvaj","3,473,730","175,020"
"Uzbekistan","33,469,203","425,400"
"Vanuatu","307,145","12,190"
"Venezuela","28,435,940","882,050"
"Vietnam","97,338,579","310,070"
"Jemen","29,825,964","527,970"
"Zambija","18,383,955","743,390"
"Zimbabve","14,862,924","386,850"
