"Prvi pristop","Ime","Visna","Gorovje","Drzava"
"2000 BC","Mount Pulag","2926","Cordillera","Filipini"
"569","Matajur","1642","Prealps","Slovenija"
"663","Mount Fuji","3776","osamelec","Japonska"
"905","Mount Damavand","5610","Alborz","Iran"
"1275","Canigou","2785","Pyrenees","Francija"
"1348","Benediktenwand","1801","Prealps","Nemcija"
"1358","Rocciamelone","3538","Alps","Italija"
"1387","Pilatus","2128","Alps","Svica"
"1492","Mont Aiguille","2085","Prealps","Francija"
"1500","Llullaillaco","6739","Andes","Argentina"
"1503","Table Mountain","1086","osamelec","Juzna Afrika"
"1519","Popocatépetl","5426","Sierra Nevada (Mex)","Mehika"
"1536","Stockhorn","2190","Prealps","Svica"
"1552","Pic du Midi d'Ossau","2884","Pyrenees","Francija"
"1559","Calanda","2805","Alps","Svica"
"1573","Corno Grande","2912","Apennines","Italija"
"1579","Serles","2717","Alps","Avstrija"
"1582","Pichincha","4784","Andes","Ekvador"
"1615","Kežmarský štít","2558","Carpathians","Slovaska"
"1642","Mount Washington","1917","Appalachians","Zdruzene Drzave Amerike"
"1654","W. Karwendelspitze","2385","Alps","Avstrija"
"1680","Säntis","2502","Alps","Svica"
"1707","Piz Beverin","2998","Alps","Svica"
"1726","Monte Cavallo","2251","Alps","Italija"
"1730","Schesaplana","2965","Alps","Avstrija"
"1738","Corazón","4790","Andes","Ekvador"
"1744","Titlis","3238","Alps","Svica"
"1750","Hekla","1488","Highlands of Iceland","Islandija"
"1759","Grintovec","2558","Alps","Slovenija"
"1762","Ankogel","3252","Alps","Avstrija"
"1770","Mont Buet","3096","Alps","Francija"
"1771","Ben Nevis","1334","Grampian Range","Velika Britanija"
"1775","Lomnický štít","2634","Carpathians","Slovaska"
"1778","Triglav","2864","Alps","Slovenija"
"1779","Mont Vélan","3727","Alps","Italija"
"1782","Sulzfluh","2817","Alps","Avstrija"
"1782","Scopi","3190","Alps","Svica"
"1784","Dôme du Goûter","4304","Alps","Francija"
"1784","Dents du Midi","3257","Alps","Svica"
"1786","Mangart","2677","Alps","Italija"
"1786","Mont Blanc","4808","Alps","Francija"
"1788","Klyuchevskaya Sopka","4750","Kamchatka","Rusija"
"1789","Rheinwaldhorn","3402","Alps","Svica"
"1792","Oberalpstock","3328","Alps","Svica"
"1792","Vignemale","3298","Pyrenees","Spanija"
"1792","Klein Matterhorn","3883","Alps","Svica"
"1795","Großes Wiesbachhorn","3564","Alps","Avstrija"
"1799","Kleinglockner","3770","Alps","Avstrija"
"1800","Großglockner","3797","Alps","Avstrija"
"1800","Watzmann","2713","Alps","Nemcija"
"1800","Mount Apo","2954","Apo–Talomo","Filipini"
"1802","Monte Perdido","3355","Pyrenees","Spanija"
"1804","Mount Katahdin","1608","Appalachians","Zdruzene Drzave Amerike"
"1804","Ortler","3905","Alps","Italija"
"1808","Grande Sassière","3747","Alps","Francija"
"1811","Jungfrau","4158","Alps","Svica"
"1813","Breithorn","4164","Alps","Svica"
"1819","Torstein","2948","Alps","Avstrija"
"1820","Pikes Peak","4302","Rocky Mountains","Zdruzene Drzave Amerike"
"1820","Zumsteinspitze","4563","Alps","Italija"
"1820","Zugspitze","2962","Alps","Nemcija"
"1821","Schrankogel","3497","Alps","Avstrija"
"1824","Tödi","3614","Alps","Svica"
"1827","Mount Brown","2791","Canadian Rockies","Kanada"
"1828","Mont Pelvoux","3946","Alps","Francija"
"1828","Kitzsteinhorn","3203","Alps","Avstrija"
"1828","Pizzo Tambo","3279","Alps","Italija"
"1829","Mount Elbrus (East)","5621","Caucasus","Rusija"
"1829","Finsteraarhorn","4272","Alps","Svica"
"1829","Mount Ararat","5137","osamelec","Turcija"
"1830","Schalfkogel","3537","Alps","Avstrija"
"1832","Hoher Dachstein","2995","Alps","Avstrija"
"1834","Similaun","3606","Alps","Avstrija"
"1834","Gerlachovský štít","2655","Carpathians","Slovaska"
"1835","Piz Linard","3410","Alps","Svica"
"1835","Piz Palü","3898","Alps","Svica"
"1836","Fernerkogel","3294","Alps","Avstrija"
"1836","Habicht","3277","Alps","Avstrija"
"1839","Aiguilles d'Arves","3513","Alps","Francija"
"1839","Mount Egmont","2518","North Island volcanoes","Nova Zelandija"
"1840","Rysy","2503","Carpathians","Slovaska"
"1841","Ras Dashen","4550","Ethiopian Highlands","Etiopija"
"1841","Glittertind","2465","Scandinavian Mts","Norveska"
"1841","Großvenediger","3666","Alps","Avstrija"
"1842","Aneto","3404","Pyrenees","Spanija"
"1842","Lauteraarhorn","4042","Alps","Svica"
"1842","Fremont Peak","4189","Rocky Mountains","Zdruzene Drzave Amerike"
"1843","Großer Löffler","3376","Alps","Avstrija"
"1844","Wetterhorn","3692","Alps","Svica"
"1845","Weißkugel","3739","Alps","Avstrija"
"1846","Piz Kesch","3418","Alps","Svica"
"1847","Schrammacher","3410","Alps","Avstrija"
"1847","Bazardüzü","4466","Caucasus","Azerbajdzan"
"1848","Pico de Orizaba","5636","Sierra Nevada (Mex)","Mehika"
"1848","Wildspitze","3770","Alps","Avstrija"
"1848","Monte Rosa (Dunantspitze)","4632","Alps","Svica"
"1850","Galdhøpiggen","2469","Scandinavian Mts","Norveska"
"1850","Piz Bernina","4049","Alps","Svica"
"1851","Pico Duarte","3098","Hispaniola","Dominikanska republika"
"1853","Mount St. Helens","2950 [61]","Cascade Range","Zdruzene Drzave Amerike"
"1854","Mount Shasta","4322","Cascade Range","Zdruzene Drzave Amerike"
"1854","Königspitze","3859","Alps","Italija"
"1854","Hochgall","3436","Alps","Avstrija"
"1854","Mount Adams","3743","Cascade Range","Zdruzene Drzave Amerike"
"1855","Monte Rosa (Dufourspitze)","4634","Alps","Svica"
"1855","Weissmies","4017","Alps","Svica"
"1857","Mount Hood","3429","Cascade Range","Zdruzene Drzave Amerike"
"1857","Mönch","4107","Alps","Svica"
"1857","Pelmo","3168","Alps","Italija"
"1858","Eiger","3967","Alps","Svica"
"1858","Dom","4545","Alps","Svica"
"1859","Aletschhorn","4193","Alps","Svica"
"1859","Grand Combin","4314","Alps","Svica"
"1859","Bietschhorn","3934","Alps","Svica"
"1859","Grivola","3969","Alps","Italija"
"1859","Rimpfischhorn","4199","Alps","Svica"
"1860","Grande Casse","3855","Alps","Francija"
"1860","Gran Paradiso","4061","Alps","Italija"
"1860","Monte Civetta","3220","Alps","Italija"
"1861","Schreckhorn","4078","Alps","Svica"
"1861","Weisshorn","4506","Alps","Svica"
"1861","Monte Viso","3841","Alps","Italija"
"1861","Mont Pourri","3779","Alps","Francija"
"1861","Mount Cameroon","4070","osamelec","Kamerun"
"1862","Dent Blanche","4357","Alps","Svica"
"1862","Zuckerhütl","3507","Alps","Avstrija"
"1862","Monte Disgrazia","3678","Alps","Italija"
"1863","Piz Zupò","3996","Alps","Italija"
"1863","Dent d'Hérens","4171","Alps","Italija"
"1863","Antelao","3264","Alps","Italija"
"1864","Barre des Écrins","4102","Alps","Francija"
"1864","Wannenhorn","3906","Alps","Svica"
"1864","Zinalrothorn","4221","Alps","Svica"
"1864","Adamello","3554","Alps","Italija"
"1864","Marmolada","3343","Alps","Italija"
